Type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,Machine failure,Tool wear failure,Heat dissipation failure,Power failure,Overstrain failure,Random failure,power,temperature difference,high_temperature_flag,high_torque_flag,low_rotational_speed_flag,wear_Stress
M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,5.082376963350785,10.400000000000034,0,0,0,1995.5
L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,4.730952879581151,10.399999999999977,0,0,0,1747.6
M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,6.09689005235602,10.399999999999977,0,0,0,2611.0
L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,4.540450261780105,10.5,0,0,0,1700.9
L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,6.174659685863874,10.399999999999977,0,0,0,2925.0
H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,4.664984293193718,10.299999999999955,0,0,0,1894.2
L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,6.660083769633508,10.299999999999955,0,0,0,3624.4
L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,5.336052356020943,10.399999999999977,0,0,0,2528.4
M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,6.758094240837696,10.399999999999977,0,0,1,4145.2
L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,4.800942408376963,10.399999999999977,0,0,0,2269.5
L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,7.176722513089005,10.399999999999977,0,0,0,4395.3
L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,5.6662303664921465,10.400000000000034,0,0,0,3022.5
M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,5.664638743455498,10.300000000000011,0,0,0,3296.5000000000005
M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,7.3892356020942405,10.399999999999977,0,0,0,4762.8
M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,6.075675392670157,10.300000000000011,0,0,0,3706.7000000000003
L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,5.906680628272252,10.300000000000011,0,0,0,4076.8
H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,7.320973821989529,10.300000000000011,0,0,0,5374.200000000001
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,7.4214659685863875,10.300000000000011,0,0,1,5827.5
L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,6.474848167539267,10.300000000000011,0,0,1,5130.2
L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,7.276900523560209,10.300000000000011,0,0,0,5842.0
M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,7.0333821989528795,10.300000000000011,0,0,0,5744.7
H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,6.967748691099477,10.399999999999977,0,0,0,5820.0
M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,7.321465968586388,10.300000000000011,0,0,0,5937.5
L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,7.655486910994766,10.300000000000011,0,0,0,6284.8
M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,4.978994764397906,10.300000000000011,0,0,0,3354.0
L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,6.874701570680628,10.300000000000011,0,0,0,6157.9
H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,8.042670157068063,10.399999999999977,0,1,0,7276.5
M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,6.520335078534032,10.300000000000011,0,0,0,6174.0
L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,1.3780732984293191,10.200000000000045,0,0,0,657.8
L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,7.950439790575916,10.200000000000045,0,1,0,7960.5
H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,6.865821989528795,10.199999999999989,0,0,0,6438.599999999999
L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,5.751989528795812,10.300000000000011,0,0,0,5335.2
L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,5.329748691099477,10.300000000000011,0,0,0,4635.400000000001
L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,6.443811518324607,10.300000000000011,0,0,0,6349.200000000001
L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,6.557570680628272,10.300000000000011,0,0,0,6699.2
L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,6.384701570680628,10.300000000000011,0,0,0,6448.0
M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,5.130837696335078,10.199999999999989,0,0,0,4779.0
L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,7.849549738219895,10.300000000000011,0,1,0,8976.0
L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,7.6724397905759165,10.300000000000011,0,0,0,8784.2
M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,6.368,10.199999999999989,0,0,0,6455.8
L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,4.385769633507853,10.199999999999989,0,0,0,3938.7999999999997
M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,4.914219895287958,10.100000000000023,0,0,0,4506.599999999999
L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,6.155790575916231,10.100000000000023,0,0,0,6832.2
L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,6.583183246073299,10.100000000000023,0,0,0,8072.900000000001
M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,5.04579057591623,10.0,0,0,0,5194.7
H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,6.7696963350785335,10.099999999999966,0,0,0,8114.400000000001
L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,5.180607329842932,10.099999999999966,0,0,0,6123.599999999999
L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,9.70020942408377,10.100000000000023,0,1,0,12548.7
M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,4.553130890052357,10.100000000000023,0,0,0,4361.8
L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,6.917905759162304,10.200000000000045,0,0,0,8918.0
L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,6.364774869109947,10.200000000000045,0,0,0,8791.199999999999
L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,5.83455497382199,10.100000000000023,0,0,0,7000.0
L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,5.414900523560209,10.100000000000023,0,0,0,6524.599999999999
L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,6.7433821989528795,10.099999999999966,0,0,0,9526.800000000001
L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,7.327947643979057,10.099999999999966,0,0,0,9867.4
L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,6.292303664921465,10.099999999999966,0,0,0,8590.4
L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,7.538952879581152,10.099999999999966,0,0,0,0.0
L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,5.563958115183246,10.099999999999966,0,0,0,75.8
H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,7.550314136125654,10.0,0,0,0,199.6
L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,7.212041884816754,10.0,0,0,0,427.5
L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,6.20758115183246,10.0,0,0,0,448.79999999999995
L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,6.168261780104713,10.0,0,0,0,521.3000000000001
L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,7.087664921465969,10.0,0,0,0,714.0
M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,5.062534031413613,10.0,0,0,0,455.6
H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,6.601089005235602,10.0,0,0,0,878.0
L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,5.141277486910996,10.0,0,0,0,795.0
M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,6.7161047120418855,10.0,0,0,0,1220.4
M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,6.150418848167539,10.0,0,0,0,1185.0
L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,4.735853403141362,10.0,0,0,0,851.4
L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,4.771413612565445,10.0,0,0,0,871.5
M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,4.900701570680629,10.0,0,0,0,1002.7
L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,6.528795811518324,9.899999999999977,0,0,0,1720.0
L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,5.417989528795811,9.899999999999977,0,0,0,1339.8
M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,7.3845235602094235,10.0,0,0,1,2296.8
M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,5.8217277486910985,10.0,0,0,0,1659.1
M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,5.479057591623037,10.0,0,0,0,1495.0
L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,5.235424083769634,9.900000000000034,0,0,0,1733.1000000000001
L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,7.08075392670157,10.0,0,0,0,2442.0
L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,4.848167539267016,10.099999999999966,0,0,0,1425.0
L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,4.315570680628272,10.0,0,0,0,1221.3
L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,6.610785340314136,10.0,0,0,0,2476.6
M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,6.111047120418848,10.0,0,0,0,2551.5
L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,6.5895287958115185,9.899999999999977,0,0,0,2864.4
L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,5.181162303664922,9.899999999999977,0,0,0,2114.8
L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,7.3384816753926705,9.899999999999977,0,0,0,3395.0
M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,7.336083769633507,10.0,0,0,0,3369.6
H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,5.550439790575917,9.900000000000034,0,0,0,2452.5
L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,5.61310994764398,9.800000000000011,0,0,0,2728.0
L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,4.4104712041884815,9.800000000000011,0,0,0,1845.0
H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,6.827905759162304,9.900000000000034,0,0,0,3654.0
M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,6.1959162303664925,9.899999999999977,0,0,0,3515.5
M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,6.5197277486911,9.800000000000011,0,0,0,3854.7999999999997
L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,5.171937172774869,9.800000000000011,0,0,0,2793.0
L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,6.847821989528796,9.800000000000011,0,0,0,4432.900000000001
L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,5.584544502617801,9.800000000000011,0,0,0,3375.9
L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,5.525340314136126,9.800000000000011,0,0,0,3333.0
M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,5.02269109947644,9.800000000000011,0,0,0,2894.3
L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,6.252031413612565,9.800000000000011,0,0,0,4314.200000000001
L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,6.707340314136126,9.800000000000011,0,0,0,4827.6
L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,6.721424083769634,9.800000000000011,0,0,0,4532.0
L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,6.9546596858638745,9.800000000000011,0,0,1,5678.400000000001
L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,7.025801047120418,9.800000000000011,0,0,0,4947.599999999999
L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,5.316628272251308,9.800000000000011,0,0,0,3410.3999999999996
L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,5.259895287958116,9.700000000000045,0,0,0,3799.6000000000004
L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,8.419319371727749,9.600000000000023,0,1,1,7260.0
L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,6.880052356020943,9.700000000000045,0,0,0,5673.0
L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,6.414471204188482,9.600000000000023,0,0,0,4786.400000000001
L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,5.599340314136126,9.600000000000023,0,0,0,4321.799999999999
L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,6.339298429319372,9.599999999999966,0,0,0,5260.8
L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,5.03820942408377,9.599999999999966,0,0,0,3601.0
M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,6.518450261780105,9.699999999999989,0,0,0,5702.400000000001
M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,7.427015706806283,9.699999999999989,0,0,0,6696.0
L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,7.597591623036649,9.599999999999966,0,1,0,7314.0
M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,5.106125654450262,9.699999999999989,0,0,0,3990.0
H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,6.795183246073299,9.800000000000011,0,0,0,6535.1
L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,7.510376963350785,9.900000000000034,0,1,1,8184.4
H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,7.495350785340313,9.800000000000011,0,0,0,7410.0
L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,7.408837696335078,9.800000000000011,0,1,1,8649.0
L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,5.711738219895288,9.800000000000011,0,0,0,5667.7
L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,5.690973821989529,9.800000000000011,0,0,0,5596.8
M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,5.250219895287958,9.799999999999955,0,0,0,4540.2
H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,7.4401570680628275,9.799999999999955,0,0,0,8282.0
M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,6.175748691099477,9.799999999999955,0,0,0,7165.599999999999
L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,5.3232251308900524,9.899999999999977,0,0,0,5779.2
H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,6.093528795811519,9.899999999999977,0,0,0,6281.400000000001
L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,6.361413612565445,10.0,0,0,0,7177.900000000001
M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,6.93109947643979,10.0,0,0,0,8688.0
L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,6.15420942408377,9.900000000000034,0,0,0,7341.599999999999
L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,6.358052356020942,9.900000000000034,0,0,0,7942.200000000001
M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,5.760083769633508,9.800000000000011,0,0,0,7068.8
M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,6.800418848167539,9.800000000000011,0,0,0,7831.0
L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,5.230366492146596,9.800000000000011,0,0,0,5238.0
L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,5.792000000000001,9.800000000000011,0,0,0,7095.200000000001
H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,4.119643979057591,9.800000000000011,0,0,0,3920.4
M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,7.201047120418848,9.700000000000045,0,0,0,9338.0
H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,6.732251308900524,9.800000000000011,0,0,0,8961.0
M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,6.278534031413613,9.800000000000011,0,0,0,8440.0
L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,7.239476439790576,9.800000000000011,0,0,0,10058.0
L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,8.148418848167541,9.800000000000011,0,1,1,13111.2
L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,7.732732984293193,9.800000000000011,0,0,0,11401.4
L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,5.895602094240838,9.800000000000011,0,0,0,0.0
M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,6.732816753926701,9.800000000000011,0,0,0,87.6
M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,6.574240837696335,9.800000000000011,0,0,0,218.0
L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,4.7181151832460735,9.899999999999977,0,0,0,208.0
H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,5.502743455497383,9.800000000000011,0,0,0,326.0
H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,6.549549738219895,9.900000000000034,0,0,0,643.5
L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.348261780104712,9.900000000000034,0,1,0,1246.0
L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,8.15641884816754,9.900000000000034,0,1,1,1300.2
M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,5.900523560209424,9.800000000000011,0,0,0,840.0
L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,7.776921465968585,9.900000000000034,0,0,0,1371.6
M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,4.190492146596859,9.899999999999977,0,0,0,603.2
M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,5.614314136125655,9.800000000000011,0,0,0,1078.4
L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,7.972753926701571,9.900000000000034,0,1,1,2040.5
L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,6.294973821989529,9.900000000000034,0,0,0,1609.5
L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,5.879015706806284,9.900000000000034,0,0,0,1353.3000000000002
L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,4.454785340314136,10.0,0,0,0,877.4
L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,7.548397905759162,10.0,0,0,0,2158.6
L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,6.799916230366492,10.100000000000023,0,0,1,2241.0
L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,7.707068062827225,10.100000000000023,0,0,0,2345.2999999999997
H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,4.622073298429319,10.100000000000023,0,0,0,1185.8
M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,6.759183246073299,10.099999999999966,0,0,1,2597.4
L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,6.328743455497383,10.099999999999966,0,0,0,2319.9
L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,5.34138219895288,10.0,0,0,0,1805.4
L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,5.784000000000001,10.0,0,0,0,2330.2000000000003
L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,7.628900523560209,10.199999999999989,0,1,1,3528.0
L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,6.223549738219895,10.199999999999989,0,0,0,2801.5
L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,5.650429319371728,10.199999999999989,0,0,0,2251.2000000000003
M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,6.993989528795811,10.099999999999966,0,0,0,2994.6
L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,7.7175183246073304,10.199999999999989,0,0,0,3592.7999999999997
L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,6.035979057591623,10.199999999999989,0,0,0,2560.4
H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,7.5828691099476435,10.199999999999989,0,0,0,3936.7999999999997
H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,6.079455497382199,10.199999999999989,0,0,0,2802.6
M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,3.00048167539267,10.300000000000011,0,0,0,920.1999999999999
L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,6.527089005235601,10.199999999999989,0,0,0,3818.1
H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,7.422408376963351,10.300000000000011,0,0,0,4504.5
M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,6.53971727748691,10.200000000000045,0,0,0,3926.3999999999996
L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,5.819895287958115,10.300000000000011,0,0,0,3465.0
L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,7.067465968586387,10.200000000000045,0,0,0,4757.1
L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,5.896858638743455,10.200000000000045,0,0,0,3605.0
L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,6.79476439790576,10.199999999999989,0,0,0,4326.0
M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,6.1157277486911,10.100000000000023,0,0,0,3819.9
L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,5.913193717277487,10.100000000000023,0,0,0,4169.0
L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,5.979560209424084,10.100000000000023,0,0,0,3673.5999999999995
M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,7.458848167539267,10.100000000000023,0,1,1,6042.0
L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,5.9474031413612565,10.199999999999989,0,0,0,4130.099999999999
M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,9.031905759162303,10.300000000000011,0,1,0,7223.3
L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,6.114104712041885,10.200000000000045,0,0,0,4477.400000000001
L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,6.805026178010471,10.200000000000045,0,0,0,5456.0
L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,5.757099476439791,10.300000000000011,0,0,0,4548.6
L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,5.590837696335078,10.199999999999989,0,0,0,4339.2
H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,7.4447748691099465,10.300000000000011,0,1,1,6877.0
L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,6.516376963350785,10.300000000000011,0,0,0,6061.5
M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,6.172973821989529,10.300000000000011,0,0,0,5082.7
L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,6.5323979057591615,10.300000000000011,0,0,0,5642.0
L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,6.0116963350785335,10.300000000000011,0,0,0,5438.599999999999
L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,5.506010471204188,10.199999999999989,0,0,0,4550.400000000001
L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,5.7728481675392675,10.300000000000011,0,0,0,5562.6
M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,6.937256544502618,10.199999999999989,0,0,0,6837.6
L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,7.813947643979057,10.199999999999989,0,1,0,7957.700000000001
H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,4.6488062827225125,10.100000000000023,0,0,0,3717.9
L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,6.144502617801047,10.200000000000045,0,0,1,7110.0
L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,5.651685863874345,10.200000000000045,0,0,0,5504.0
L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,4.859811518324608,10.300000000000011,0,0,0,4746.6
L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,7.672837696335078,10.199999999999989,0,1,1,8823.199999999999
L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,6.8467853403141365,10.099999999999966,0,0,1,8167.200000000001
L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,5.817581151832461,10.199999999999989,0,0,0,6064.8
M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,6.328366492146597,10.199999999999989,0,0,0,6307.0
L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,5.185717277486912,10.199999999999989,0,0,0,5570.6
L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,5.721047120418848,10.300000000000011,0,0,0,6089.999999999999
L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,6.354429319371728,10.099999999999966,0,0,0,7628.7
L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,7.097633507853404,10.199999999999989,0,0,0,8520.4
L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,5.525528795811518,10.199999999999989,0,0,0,6316.9
L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,6.639392670157068,10.199999999999989,0,0,0,7850.7
M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,5.928376963350786,10.199999999999989,0,0,0,6234.500000000001
